HolidayPlace,City,Countryside,Seaside,Riverside,Mountains,Hotel,Hostel,Camping,Train,Train + Bike,Bus,Explore Nature,Food,Culture,Party,Relaxing,Active Holiday,Picture,Description,Link
"Chiang Dao, Thailand",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,link,Destinasi trekking yang indah dengan pegunungan yang hijau dan kuil-kuil kuno.,[URL Link]
"Taman Nasional Khao Sok, Thailand",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,link,"Hutan hujan tropis tertua di dunia dengan danau buatan, gua-gua, dan kehidupan liar yang beragam.",[URL Link]
"Kepulauan Samui, Thailand",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,link,"Destinasi liburan yang populer dengan pantai-pantai yang indah, hiburan malam, dan aktivitas air.",[URL Link]
"Pulau Koh Chang, Thailand",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,link,Pulau terbesar kedua di Thailand dengan pantai-pantai yang tenang dan trekking yang menarik.,[https://link-to-website]
"Gunung Kinabalu, Malaysia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,link,Puncak tertinggi di Malaysia yang menarik pendaki dari seluruh dunia.,[https://link-to-website]
"Kota Chiang Rai, Thailand",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,"Kota kecil yang indah dengan kuil-kuil unik, pasar malam, dan kebun teh yang hijau.",[https://link-to-website]
"Kota Siem Reap, Kamboja",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,Pintu gerbang menuju kompleks kuil Angkor Wat yang megah dan situs-situs bersejarah lainnya.,[https://link-to-website]
"Kota Sihanoukville, Kamboja",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,Kota pantai yang populer dengan pantai-pantai yang indah dan kehidupan malam yang meriah.,[https://link-to-website]
"Pulau Palawan, Filipina",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,"Destinasi liburan yang populer dengan pantai-pantai yang spektakuler, terumbu karang, dan laguna-laguna tersembunyi.",[https://link-to-website]
"Kota Manila, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,link,"Ibukota yang bersemangat dengan kehidupan malam yang sibuk, pusat perbelanjaan, dan warisan sejarah yang kaya.",[https://link-to-website]
"Kota Cebu, Filipina",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,"Kota yang bersejarah dengan gereja-gereja kolonial, festival budaya, dan pantai-pantai yang indah.",[https://link-to-website]
"Kota Davao, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,link,"Kota yang modern dengan taman-taman hijau, pasar-pasar tradisional, dan kehidupan malam yang beragam.",[https://link-to-website]
"Kota Boracay, Filipina",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,"Destinasi liburan yang terkenal dengan pantai-pantai yang indah, aktivitas air, dan kehidupan malam yang meriah.",[https://link-to-website]
"Kota Tagaytay, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,Kota perbukitan yang terkenal dengan pemandangan Gunung Taal yang spektakuler dan udara yang sejuk.,[https://link-to-website]
"Kota Puerto Princesa, Filipina",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,"Kota yang ramah dengan taman-taman alam yang indah, gua-gua, dan pantai-pantai yang menakjubkan.",[https://link-to-website]
"Kota Angeles, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,link,"Kota yang ramai dengan hiburan malam, tempat perbelanjaan, dan warisan sejarah Amerika.",[https://link-to-website]
"Kota Baguio, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,"Kota perbukitan yang populer dengan iklim yang sejuk, taman-taman hijau, dan festival bunga.",[https://link-to-website]
"Kota Makati, Filipina",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,link,"Pusat bisnis dan keuangan dengan pusat perbelanjaan, restoran, dan hotel-hotel mewah.",[https://link-to-website]
"Kota Quezon, FIlipina",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,link,"Ibukota provinsi yang dipenuhi dengan taman-taman hijau, tempat bersejarah, dan acara budaya.",
"Kota Pasay, Filipina",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,link,"Pusat transportasi dengan bandara internasional, terminal bus, dan tempat-tempat hiburan.",
"Kota Lapu-Lapu, Filipina",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,Kota yang bersejarah dengan monumen-monumen peringatan dan pantai-pantai yang indah.,
"Kota Mandaue, Filipina",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,link,"Kota yang bersejarah dengan museum-museum, taman-taman, dan festival budaya.",
"Kota Marawi, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,Kota yang kaya akan budaya Islam dengan masjid-masjid megah dan festival-festival tradisional.,
"Kota Calamba, Filipina",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,link,Kota kelahiran Jose Rizal dengan museum-museum sejarah dan taman-taman yang hijau.,
"Kota Olongapo, Filipina",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,link,"Kota yang bersemangat dengan pantai-pantai yang indah, taman-taman air, dan kehidupan malam yang meriah.",
"Kota Tarlac, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,Kota yang tenang dengan monumen-monumen peringatan dan taman-taman yang hijau.,
"Kota Dasmarinas, Filipina",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,link,"Kota yang berkembang dengan pusat perbelanjaan, restoran, dan taman-taman rekreasi.",
"Kota Bacoor, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,Kota yang bersejarah dengan tempat-tempat bersejarah dan tempat-tempat wisata alam.,
"Kota Imus, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,Kota yang kaya akan sejarah dengan bangunan-bangunan kolonial dan festival-festival budaya.,
"Kota Cavite, Filipina",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,link,"Kota yang bersejarah dengan situs-situs sejarah, museum-museum, dan taman-taman.",
"Kota San Pedro, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,"Kota yang modern dengan taman-taman kota, pusat perbelanjaan, dan fasilitas rekreasi.",
"Kota Antipolo, Filipina",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,link,Kota perbukitan yang populer dengan pemandangan kota Manila yang spektakuler dan tempat-tempat ziarah.,
"Kota Caloocan, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,link,"Kota yang berkembang dengan pasar-pasar tradisional, pusat perbelanjaan, dan taman-taman hijau.",
"Kota Las Pinas, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,link,"Kota yang tenang dengan gereja-gereja bersejarah, taman-taman, dan tempat-tempat rekreasi.",
"Kota Malabon, Filipina",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,link,Kota yang terkenal dengan makanan-makanan laut yang lezat dan festival-festival tradisional.,https://example.com/malabon
"Kota Mandaluyong, Filipina",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,link,"Kota yang modern dengan gedung-gedung pencakar langit, pusat perbelanjaan, dan taman-taman kota yang hijau.",https://example.com/mandaluyong
